Depth,Soil,p1,y1,p2,y2,p3,y3,p4,y4,p5,y5,p6,y6,p7,y7,p8,y8
7,clay,64.17,2,160.425,2.8,256.68,11.764705882352938,320.85,20,417.105,47.27272727272727,481.27500000000003,70.71428571428572,577.5300000000001,124.28571428571432,641.7,1000
7.5,clay,66.825,2,167.0625,2.799999999999999,267.3,11.764705882352942,334.125,20,434.3625,47.27272727272727,501.1875,70.71428571428572,601.4250000000001,124.28571428571432,668.25,1000
8,clay,69.48,2,173.7,2.7999999999999994,277.92,11.764705882352944,347.4,20,451.62,47.27272727272727,521.0999999999999,70.71428571428568,625.3199999999999,124.28571428571428,694.8,1000
8.5,clay,72.135,2,180.3375,2.7999999999999994,288.54,11.76470588235294,360.675,20,468.87750000000005,47.27272727272729,541.0125,70.71428571428575,649.215,124.2857142857143,721.35,1000
9,clay,74.79,2,186.975,2.7999999999999994,299.16,11.764705882352944,373.95,20,486.135,47.27272727272728,560.925,70.71428571428572,673.11,124.28571428571432,747.9,1000
9.5,sand-silt,8.644635189910847,4.081632653061225,21.611587974777116,4.081632653061225,34.57854075964339,4.081632653061225,43.22317594955423,4.081632653061225,56.190128734420504,4.081632653061225,64.83476392433136,4.081632653061225,77.80171670919762,4.081632653061225,86.44635189910846,200
10,sand-silt,9.099615989379839,4.081632653061225,22.749039973449594,4.081632653061225,36.398463957519354,4.081632653061225,45.49807994689919,4.081632653061225,59.147503930968945,4.081632653061225,68.24711992034878,4.081632653061225,81.89654390441854,4.081632653061225,90.99615989379838,200
10.5,sand-silt,9.55459678884883,4.081632653061225,23.886491972122073,4.081632653061225,38.21838715539532,4.081632653061225,47.772983944244146,4.081632653061225,62.10487912751739,4.081632653061225,71.65947591636622,4.081632653061225,85.99137109963947,4.081632653061225,95.54596788848829,200
11,clay,74.8125,4.5,187.03125,4.5,299.25,9.96,374.0625,13.949999999999998,486.28125,29.1,561.09375,40.49999999999999,673.3125,100.12499999999999,748.125,1000
11.5,clay,76.59374999999999,4.5,191.48437499999997,4.5,306.37499999999994,9.959999999999999,382.96874999999994,13.949999999999998,497.85937499999994,29.1,574.4531249999999,40.49999999999999,689.3437499999999,100.12499999999999,765.9374999999999,1000
12,clay,78.375,4.5,195.9375,4.5,313.5,9.96,391.875,13.950000000000001,509.4375,29.1,587.8125,40.5,705.375,100.12499999999999,783.75,1000
12.5,clay,80.15625,4.5,200.390625,4.5,320.625,9.96,400.78125,13.949999999999998,521.015625,29.1,601.171875,40.49999999999999,721.40625,100.12499999999999,801.5625,1000
13,clay,81.9375,4.5,204.84375,4.5,327.75,9.96,409.6875,13.949999999999998,532.59375,29.099999999999998,614.53125,40.49999999999999,737.4375,100.12499999999999,819.375,1000
13.5,clay,83.71875,4.5,209.296875,4.5,334.875,9.96,418.59375,13.949999999999998,544.171875,29.099999999999998,627.890625,40.49999999999999,753.46875,100.12499999999999,837.1875,1000
14,clay,85.5,4.5,213.75,4.5,342,9.96,427.5,13.950000000000001,555.75,29.1,641.25,40.5,769.5,100.12499999999999,855,1000
14.5,clay,87.28125,4.5,218.203125,4.5,349.125,9.96,436.40625,13.949999999999998,567.328125,29.1,654.609375,40.49999999999999,785.53125,100.12499999999999,872.8125,1000
15,clay,89.0625,4.5,222.65625,4.5,356.25,9.96,445.3125,13.950000000000001,578.90625,29.1,667.96875,40.49999999999999,801.5625,100.12499999999999,890.625,1000
15.5,sand-silt,21.74589788902724,4.081632653061225,54.3647447225681,4.081632653061225,86.98359155610896,4.081632653061225,108.7294894451362,4.081632653061225,141.34833627867707,4.081632653061225,163.0942341677043,4.081632653061225,195.71308100124514,4.081632653061225,217.4589788902724,200
16,sand-silt,22.447378466092637,4.081632653061225,56.11844616523159,4.081632653061225,89.78951386437055,4.081632653061225,112.23689233046318,4.081632653061225,145.90796002960212,4.081632653061225,168.35533849569475,4.081632653061225,202.02640619483373,4.081632653061225,224.47378466092636,200
16.5,sand-silt,23.148859043158033,4.081632653061225,57.87214760789508,4.081632653061225,92.59543617263213,4.081632653061225,115.74429521579016,4.081632653061225,150.4675837805272,4.081632653061225,173.61644282368525,4.081632653061225,208.33973138842228,4.081632653061225,231.48859043158032,200
17,sand-silt,23.850339620223426,4.081632653061225,59.625849050558564,4.081632653061225,95.4013584808937,4.081632653061225,119.25169810111713,4.081632653061225,155.02720753145226,4.081632653061225,178.87754715167569,4.081632653061225,214.65305658201083,4.081632653061225,238.50339620223426,200
17.5,sand-silt,24.551820197288823,4.081632653061225,61.379550493222055,4.081632653061225,98.20728078915529,4.081632653061225,122.75910098644411,4.081632653061225,159.58683128237735,4.081632653061225,184.13865147966618,4.081632653061225,220.96638177559942,4.081632653061225,245.51820197288822,200
18,sand-silt,25.253300774354216,4.081632653061225,63.13325193588554,4.081632653061225,101.01320309741686,4.081632653061225,126.26650387177108,4.081632653061225,164.1464550333024,4.081632653061225,189.39975580765662,4.081632653061225,227.27970696918794,4.081632653061225,252.53300774354216,200
18.5,sand-silt,25.954781351419616,4.081632653061225,64.88695337854904,4.081632653061225,103.81912540567846,4.081632653061225,129.77390675709808,4.081632653061225,168.70607878422751,4.081632653061225,194.6608601356471,4.081632653061225,233.59303216277655,4.081632653061225,259.54781351419615,200
19,sand-silt,26.656261928485005,4.081632653061225,66.64065482121251,4.081632653061225,106.62504771394002,4.081632653061225,133.28130964242501,4.081632653061225,173.2657025351525,4.081632653061225,199.92196446363752,4.081632653061225,239.90635735636502,4.081632653061225,266.56261928485003,200
